State,Year,Topic
AL,2022,Fossil Energy
AL,2022,Electric Grid and Transmission
AL,2022,Climate Change - Carbon Capture and Sequestration
AL,2022,Fossil Energy - Natural Gas
AL,2021,Fossil Energy
AL,2021,Renewable Energy
AL,2021,Fossil Energy
AL,2019,Transportation
AL,2019,Fossil Energy
AL,2019,Energy Security and Critical Infrastructure
AL,2019,Fossil Energy
AL,2019,Electric Grid and Transmission
AL,2018,Energy Security and Critical Infrastructure
AL,2018,Fossil Energy
AL,2018,Fossil Energy
AL,2018,Energy Security and Critical Infrastructure
AL,2017,Fossil Energy
AL,2017,Climate Change
AL,2017,Fossil Energy
AL,2017,Fossil Energy
AL,2017,Fossil Energy
AL,2016,Transportation
AL,2015,Electric Grid and Transmission
AL,2015,Fossil Energy
AL,2015,Energy Efficiency
AL,2015,Climate Change
AL,2015,Energy Efficiency
AL,2015,Renewable Energy
AL,2015,Renewable Energy
AL,2014,Fossil Energy
AL,2014,Climate Change
AL,2014,Fossil Energy
AL,2014,Energy Security and Critical Infrastructure
AL,2014,Fossil Energy
AL,2014,Renewable Energy
AL,2014,Renewable Energy
AL,2014,Transportation
AL,2013,Energy Security and Critical Infrastructure
AL,2013,Energy Security and Critical Infrastructure
AL,2013,Transportation
AL,2013,Energy Efficiency
AL,2013,Fossil Energy
AL,2013,Fossil Energy
AL,2013,Fossil Energy
AL,2013,Renewable Energy
AL,2012,Climate Change
AL,2012,Fossil Energy
AL,2012,Fossil Energy
AL,2012,Transportation
AL,2011,Climate Change
AL,2011,Transportation
AL,2011,
AL,2010,Fossil Energy
AL,2010,Fossil Energy
AL,2010,Energy Efficiency
AL,2009,Renewable Energy
AL,2009,Transportation
AL,2009,Transportation - Alt Fuel/Hybrid
AL,2009,Transportation - Alt Fuel/Hybrid
AL,2009,Climate Change
AL,2009,Transportation
AL,2009,Climate Change
AL,2009,Climate Change
AL,2009,Climate Change
AL,2009,Transportation - Alt Fuel/Hybrid
AL,2009,Fossil Energy
AL,2009,Transportation
AL,2009,Fossil Energy
AL,2009,Fossil Energy
AL,2009,Fossil Energy
AL,2009,Transportation
AL,2009,Transportation
AL,2009,Renewable Energy
AL,2009,Renewable Energy
AL,2009,Climate Change
AL,2008,Renewable Energy
AK,2022,Financing Energy Efficiency and Renewable Energy
AK,2022,Renewable Energy
AK,2021,Renewable Energy
AK,2021,Financing Energy Efficiency and Renewable Energy
AK,2020,Fossil Energy
AK,2020,
AK,2020,Energy Security and Critical Infrastructure
AK,2020,Energy Efficiency
AK,2019,Fossil Energy
AK,2019,
AK,2018,Energy Efficiency
AK,2018,Fossil Energy
AK,2018,Fossil Energy
AK,2018,Fossil Energy
AK,2018,Energy Efficiency
AK,2017,Energy Efficiency
AK,2017,Fossil Energy
AK,2016,Renewable Energy
AK,2016,Fossil Energy
AK,2016,Renewable Energy
AK,2016,Energy Efficiency
AK,2016,Financing Energy Efficiency and Renewable Energy
AK,2016,Renewable Energy
AK,2016,Fossil Energy
AK,2016,Fossil Energy
AK,2016,Fossil Energy
AK,2015,Renewable Energy
AK,2015,Fossil Energy
AK,2015,Renewable Energy
AK,2015,Energy Efficiency
AK,2015,Fossil Energy
AK,2014,Fossil Energy
AK,2014,Fossil Energy
AK,2014,Fossil Energy
AK,2014,Fossil Energy
AK,2014,Electric Grid and Transmission
AK,2014,Renewable Energy
AK,2014,Fossil Energy
AK,2014,Fossil Energy
AK,2014,Energy Security and Critical Infrastructure
AK,2014,Renewable Energy
AK,2014,Energy Efficiency
AK,2013,Fossil Energy
AK,2013,Fossil Energy
AK,2013,Fossil Energy
AK,2013,Fossil Energy
AK,2012,Fossil Energy
AK,2012,Energy Security and Critical Infrastructure
AK,2012,Financing Energy Efficiency and Renewable Energy
AK,2012,Financing Energy Efficiency and Renewable Energy
AK,2010,
AK,2010,Energy Efficiency
AK,2010,Energy Efficiency
AK,2010,Renewable Energy
AK,2010,Fossil Energy
AK,2010,Energy Efficiency
AK,2010,Fossil Energy
AK,2010,Fossil Energy
AK,2008,Climate Change
AK,2008,Climate Change
AK,2008,Energy Efficiency
AZ,2022,Transportation
AZ,2021,Energy Efficiency
AZ,2021,Financing Energy Efficiency and Renewable Energy
AZ,2021,Transportation
AZ,2021,Renewable Energy
AZ,2021,Financing Energy Efficiency and Renewable Energy
AZ,2021,Transportation
AZ,2021,Fossil Energy - Natural Gas
AZ,2021,Energy Efficiency
AZ,2021,Renewable Energy
AZ,2021,Climate Change
AZ,2021,Energy Efficiency
AZ,2021,Financing Energy Efficiency and Renewable Energy
AZ,2021,Green Jobs
AZ,2021,Energy Efficiency
AZ,2020,Fossil Energy
AZ,2020,Financing Energy Efficiency and Renewable Energy
AZ,2019,Transportation
AZ,2019,Climate Change
AZ,2019,Renewable Energy
AZ,2019,Renewable Energy
AZ,2018,Fossil Energy
AZ,2018,Fossil Energy
AZ,2018,Transportation
AZ,2018,Transportation
AZ,2017,Nuclear Energy Facilities
AZ,2017,Energy Efficiency
AZ,2017,Climate Change
AZ,2017,Nuclear / Radioactive Waste
AZ,2017,Climate Change
AZ,2017,Energy Efficiency
AZ,2017,Renewable Energy
AZ,2016,Electric Grid and Transmission
AZ,2016,Fossil Energy
AZ,2016,Fossil Energy
AZ,2016,Renewable Energy
AZ,2016,Energy Efficiency
AZ,2016,Transportation
AZ,2016,Transportation
AZ,2016,Green Jobs
AZ,2016,Energy Efficiency
AZ,2015,Nuclear Energy Facilities
AZ,2015,Climate Change
AZ,2015,
AZ,2015,
AZ,2015,Renewable Energy
AZ,2015,Energy Efficiency
AZ,2015,Fossil Energy
AZ,2015,Electric Grid and Transmission
AZ,2015,Fossil Energy
AZ,2015,Fossil Energy
AZ,2015,Transportation
AZ,2015,Fossil Energy
AZ,2015,Renewable Energy
AZ,2014,Transportation
AZ,2014,Transportation
AZ,2014,Electric Grid and Transmission
AZ,2014,Electric Grid and Transmission
AZ,2014,Renewable Energy
AZ,2014,Energy Security and Critical Infrastructure
AZ,2014,Fossil Energy
AZ,2014,Energy Efficiency
AZ,2014,Climate Change
AZ,2014,Fossil Energy
AZ,2014,
AZ,2014,Renewable Energy
AZ,2014,Renewable Energy
AZ,2014,Climate Change
AZ,2014,Fossil Energy
AZ,2014,Transportation
AZ,2013,Fossil Energy
AZ,2013,Financing Energy Efficiency and Renewable Energy
AZ,2013,Energy Security and Critical Infrastructure
AZ,2013,
AZ,2013,Financing Energy Efficiency and Renewable Energy
AZ,2013,Renewable Energy
AZ,2013,Renewable Energy
AZ,2013,Renewable Energy
AZ,2013,Transportation
AZ,2013,Fossil Energy
AZ,2012,Financing Energy Efficiency and Renewable Energy
AZ,2012,Energy Efficiency
AZ,2012,Renewable Energy
AZ,2012,Renewable Energy
AZ,2012,Energy Efficiency
AZ,2011,Renewable Energy
AZ,2011,
AZ,2010,Renewable Energy
AZ,2010,Renewable Energy
AZ,2010,Transportation
AZ,2010,Climate Change
AZ,2010,Renewable Energy
AZ,2009,Renewable Energy
AZ,2009,Renewable Energy
AZ,2009,Transportation - Alt Fuel/Hybrid
AZ,2009,Transportation - Alt Fuel/Hybrid
AZ,2009,Energy Efficiency
AZ,2009,Renewable Energy
AZ,2009,Fossil Energy - Coal
AZ,2008,Renewable Energy
AZ,2008,Transportation
AZ,2008,Renewable Energy
AZ,2008,Renewable Energy
AR,2022,Financing Energy Efficiency and Renewable Energy
AR,2021,Fossil Energy
AR,2021,Climate Change
AR,2021,Fossil Energy
AR,2021,Renewable Energy
AR,2021,Transportation
AR,2021,Green Jobs
AR,2021,Transportation
AR,2021,Fossil Energy - Natural Gas
AR,2021,Energy Security and Critical Infrastructure
AR,2021,Energy Security and Critical Infrastructure
AR,2021,Transportation
AR,2021,Energy Security and Critical Infrastructure
AR,2021,Nuclear / Radioactive Waste
AR,2021,Financing Energy Efficiency and Renewable Energy
AR,2021,Transportation
AR,2021,Fossil Energy
AR,2021,Energy Security and Critical Infrastructure
AR,2021,Energy Security and Critical Infrastructure
AR,2021,Utility Regulation
AR,2021,Energy Security and Critical Infrastructure
AR,2021,Fossil Energy
AR,2021,Nuclear / Radioactive Waste
AR,2021,Transportation
AR,2020,
AR,2019,Electric Grid and Transmission
AR,2019,Transportation
AR,2019,Climate Change
AR,2019,Energy Security and Critical Infrastructure
AR,2019,Energy Efficiency
AR,2019,Energy Security and Critical Infrastructure
AR,2019,Energy Efficiency
AR,2019,Energy Efficiency
AR,2019,Fossil Energy
AR,2019,Energy Efficiency
AR,2018,Fossil Energy
AR,2017,Energy Efficiency
AR,2017,Transportation
AR,2017,Nuclear / Radioactive Waste
AR,2017,Energy Efficiency
AR,2017,Transportation
AR,2016,Nuclear / Radioactive Waste
AR,2015,Energy Efficiency
AR,2015,Energy Efficiency
AR,2015,Transportation
AR,2015,Energy Efficiency
AR,2015,Climate Change
AR,2015,Energy Security and Critical Infrastructure
AR,2015,Transportation
AR,2015,Energy Efficiency
AR,2015,Fossil Energy
AR,2015,Utility Regulation
AR,2015,Fossil Energy
AR,2015,Energy Efficiency
AR,2015,Fossil Energy
AR,2015,Electric Grid and Transmission
AR,2015,Energy Efficiency
AR,2015,Nuclear / Radioactive Waste
AR,2015,Utility Regulation
AR,2015,Fossil Energy
AR,2015,
AR,2015,Energy Efficiency
AR,2015,Renewable Energy
AR,2015,Fossil Energy
AR,2015,
AR,2014,Energy Efficiency
AR,2014,Energy Efficiency
AR,2014,Energy Security and Critical Infrastructure
AR,2013,Transportation
AR,2013,Renewable Energy
AR,2013,Energy Efficiency
AR,2013,Fossil Energy
AR,2013,Energy Efficiency
AR,2013,Transportation
AR,2013,Transportation
AR,2013,Energy Efficiency
AR,2013,Transportation
AR,2013,Fossil Energy
AR,2013,Transportation
AR,2013,Energy Efficiency
AR,2013,Transportation
AR,2013,Transportation
AR,2013,Energy Efficiency
AR,2013,Fossil Energy
AR,2013,Renewable Energy
AR,2013,Fossil Energy
AR,2013,
AR,2013,Fossil Energy
AR,2011,Fossil Energy
AR,2011,Fossil Energy
AR,2011,Energy Efficiency
AR,2011,Fossil Energy
AR,2011,Transportation
AR,2011,
AR,2011,
AR,2011,Transportation
AR,2009,Transportation - Alt Fuel/Hybrid
AR,2009,Energy Efficiency
AR,2009,Fossil Energy
AR,2009,Renewable Energy
AR,2009,Fossil Energy
AR,2009,Fossil Energy
AR,2009,Transportation
AR,2009,Fossil Energy
AR,2009,Transportation - Alt Fuel/Hybrid
AR,2009,Fossil Energy
AR,2009,Fossil Energy
AR,2009,Fossil Energy - Coal
AR,2009,Fossil Energy
AR,2009,Fossil Energy
AR,2009,Fossil Energy
AR,2009,Energy Efficiency
AR,2009,Renewable Energy
AR,2009,Transportation - Alt Fuel/Hybrid
AR,2009,Transportation - Alt Fuel/Hybrid
AR,2009,Renewable Energy
AR,2009,Fossil Energy
AR,2009,Transportation - Alt Fuel/Hybrid
AR,2009,Energy Efficiency
CA,2022,Climate Change
CA,2022,Climate Change
CA,2022,Climate Change
CA,2022,Energy Efficiency
CA,2022,Climate Change
CA,2022,Climate Change
CA,2022,Climate Change
CA,2022,Fossil Energy
CA,2022,Energy Security and Critical Infrastructure
CA,2022,Climate Change
CA,2022,Climate Change
CA,2022,Climate Change
CA,2022,
CA,2022,Fossil Energy
CA,2022,Energy Security and Critical Infrastructure
CA,2022,
CA,2022,Financing Energy Efficiency and Renewable Energy
CA,2022,Utility Regulation
CA,2022,Energy Efficiency
CA,2022,Energy Security and Critical Infrastructure
CA,2022,Energy Efficiency
CA,2022,Climate Change
CA,2022,Renewable Energy
CA,2022,Fossil Energy
CA,2022,Energy Security and Critical Infrastructure
CA,2022,Transportation
CA,2022,Climate Change
CA,2022,Fossil Energy
CA,2022,Climate Change
CA,2022,Transportation
CA,2022,Climate Change
CA,2022,Climate Change - Emissions Reduction
CA,2022,Transportation
CA,2022,Renewable Energy
CA,2022,Climate Change
CA,2022,Climate Change
CA,2022,Transportation
CA,2022,Climate Change - Emissions Reduction
CA,2022,Climate Change
CA,2022,Climate Change
CA,2022,Renewable Energy
CA,2022,Energy Security and Critical Infrastructure
CA,2022,Fossil Energy
CA,2022,Climate Change - Emissions Reduction
CA,2022,Climate Change
CA,2022,Energy Security and Critical Infrastructure
CA,2022,Energy Security and Critical Infrastructure
CA,2022,Financing Energy Efficiency and Renewable Energy
CA,2022,Energy Efficiency
CA,2022,Renewable Energy
CA,2022,Climate Change
CA,2022,Energy Efficiency
CA,2022,Climate Change - Adaptation and Environment
CA,2022,Climate Change
CA,2022,Renewable Energy
CA,2022,Climate Change - Emissions Reduction
CA,2022,Green Jobs
CA,2022,Transportation
CA,2022,Climate Change - Emissions Reduction
CA,2022,Energy Efficiency
CA,2022,Renewable Energy
CA,2022,Climate Change
CA,2022,Climate Change
CA,2021,Climate Change
CA,2021,Climate Change
CA,2021,Climate Change
CA,2021,Energy Efficiency
CA,2021,Climate Change
CA,2021,Climate Change
CA,2021,Climate Change
CA,2021,Fossil Energy
CA,2021,Energy Security and Critical Infrastructure
CA,2021,Climate Change
CA,2021,Climate Change
CA,2021,Climate Change
CA,2021,
CA,2021,Fossil Energy
CA,2021,Energy Security and Critical Infrastructure
CA,2021,
CA,2021,Financing Energy Efficiency and Renewable Energy
CA,2021,Utility Regulation
CA,2021,Energy Efficiency
CA,2021,Energy Security and Critical Infrastructure
CA,2021,Energy Efficiency
CA,2021,Climate Change
CA,2021,Renewable Energy
CA,2021,Fossil Energy
CA,2021,Energy Security and Critical Infrastructure
CA,2021,Transportation
CA,2021,Climate Change
CA,2021,Fossil Energy
CA,2021,Climate Change
CA,2021,Transportation
CA,2021,Climate Change
CA,2021,Climate Change - Emissions Reduction
CA,2021,Transportation
CA,2021,Renewable Energy
CA,2021,Climate Change
CA,2021,Climate Change
CA,2021,Transportation
CA,2021,Climate Change - Emissions Reduction
CA,2021,Climate Change
CA,2021,Climate Change
CA,2021,Renewable Energy
CA,2021,Energy Security and Critical Infrastructure
CA,2021,Fossil Energy
CA,2021,Climate Change - Emissions Reduction
CA,2021,Climate Change
CA,2021,Energy Security and Critical Infrastructure
CA,2021,Energy Security and Critical Infrastructure
CA,2021,Financing Energy Efficiency and Renewable Energy
CA,2021,Energy Efficiency
CA,2021,Renewable Energy
CA,2021,Climate Change
CA,2021,Energy Efficiency
CA,2021,Climate Change - Adaptation and Environment
CA,2021,Climate Change
CA,2021,Renewable Energy
CA,2021,Climate Change - Emissions Reduction
CA,2021,Green Jobs
CA,2021,Transportation
CA,2021,Climate Change - Emissions Reduction
CA,2021,Energy Efficiency
CA,2021,Renewable Energy
CA,2021,Climate Change
CA,2021,Climate Change
CA,2020,Energy Security and Critical Infrastructure
CA,2020,Climate Change
CA,2020,Energy Efficiency
CA,2020,Climate Change
CA,2020,Energy Security and Critical Infrastructure
CA,2020,Energy Security and Critical Infrastructure
CA,2020,Climate Change
CA,2020,Climate Change
CA,2020,Climate Change
CA,2020,Climate Change
CA,2020,Energy Security and Critical Infrastructure
CA,2020,Climate Change
CA,2020,Green Jobs
CA,2020,Energy Security and Critical Infrastructure
CA,2020,Financing Energy Efficiency and Renewable Energy
CA,2020,Energy Efficiency
CA,2020,Climate Change
CA,2020,Energy Security and Critical Infrastructure
CA,2020,
CA,2020,Fossil Energy
CA,2020,Green Jobs
CA,2020,Climate Change
CA,2020,Climate Change
CA,2020,Climate Change
CA,2020,Fossil Energy
CA,2020,Energy Security and Critical Infrastructure
CA,2020,Climate Change
CA,2020,Financing Energy Efficiency and Renewable Energy
CA,2020,Renewable Energy
CA,2020,Fossil Energy
CA,2020,Utility Regulation
CA,2020,Utility Regulation
CA,2020,Fossil Energy
CA,2020,Electric Grid and Transmission
CA,2020,Climate Change
CA,2020,Fossil Energy
CA,2020,Energy Security and Critical Infrastructure
CA,2020,Transportation
CA,2020,Climate Change
CA,2020,Electric Grid and Transmission
CA,2020,Renewable Energy
CA,2020,Climate Change
CA,2020,Renewable Energy
CA,2020,Utility Regulation
CA,2020,Transportation
CA,2020,Fossil Energy
CA,2020,Climate Change
CA,2020,Utility Regulation
CA,2020,Climate Change
CA,2020,Energy Security and Critical Infrastructure
CA,2020,
CA,2020,Fossil Energy
CA,2020,Climate Change
CA,2020,Fossil Energy
CA,2020,Climate Change - Emissions Reduction
CA,2020,Transportation
CA,2020,Climate Change
CA,2020,Electric Grid and Transmission
CA,2020,Financing Energy Efficiency and Renewable Energy
CA,2020,Climate Change - Emissions Reduction
CA,2020,Climate Change
CA,2020,Climate Change
CA,2020,Fossil Energy
CA,2020,Utility Regulation
CA,2020,Energy Efficiency
CA,2020,Energy Efficiency
CA,2020,Utility Regulation
CA,2020,Renewable Energy
CA,2020,Climate Change
CA,2020,Climate Change
CA,2020,Fossil Energy
CA,2020,Energy Efficiency
CA,2020,Energy Security and Critical Infrastructure
CA,2020,Climate Change
CA,2020,Fossil Energy
CA,2020,Fossil Energy
CA,2019,Energy Security and Critical Infrastructure
CA,2019,Climate Change
CA,2019,Energy Efficiency
CA,2019,Climate Change
CA,2019,Energy Security and Critical Infrastructure
CA,2019,Energy Security and Critical Infrastructure
CA,2019,Green Jobs
CA,2019,Energy Security and Critical Infrastructure
CA,2019,Financing Energy Efficiency and Renewable Energy
CA,2019,Energy Efficiency
CA,2019,Climate Change
CA,2019,Energy Security and Critical Infrastructure
CA,2019,Fossil Energy
CA,2019,Green Jobs
CA,2019,Climate Change
CA,2019,Climate Change
CA,2019,Fossil Energy
CA,2019,Climate Change
CA,2019,Renewable Energy
CA,2019,Fossil Energy
CA,2019,Utility Regulation
CA,2019,Utility Regulation
CA,2019,Fossil Energy
CA,2019,Electric Grid and Transmission
CA,2019,Climate Change
CA,2019,Fossil Energy
CA,2019,Transportation
CA,2019,Electric Grid and Transmission
CA,2019,Renewable Energy
CA,2019,Utility Regulation
CA,2019,Transportation
CA,2019,Fossil Energy
CA,2019,
CA,2019,Fossil Energy
CA,2019,Climate Change
CA,2019,Fossil Energy
CA,2019,Climate Change - Emissions Reduction
CA,2019,Transportation
CA,2019,Electric Grid and Transmission
CA,2019,Financing Energy Efficiency and Renewable Energy
CA,2019,Climate Change - Emissions Reduction
CA,2019,Fossil Energy
CA,2019,Utility Regulation
CA,2019,Energy Efficiency
CA,2019,Utility Regulation
CA,2019,Climate Change
CA,2018,Transportation
CA,2018,Climate Change
CA,2018,Nuclear / Radioactive Waste
CA,2018,Climate Change - Emissions Reduction
CA,2018,Climate Change
CA,2018,Fossil Energy
CA,2018,Energy Efficiency
CA,2018,Climate Change
CA,2018,Climate Change
CA,2018,Renewable Energy
CA,2018,Energy Efficiency
CA,2018,Green Jobs
CA,2018,Climate Change
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Energy Efficiency
CA,2018,Energy Efficiency
CA,2018,Energy Efficiency
CA,2018,Climate Change
CA,2018,Electric Grid and Transmission
CA,2018,Fossil Energy
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Energy Efficiency
CA,2018,Renewable Energy
CA,2018,Transportation
CA,2018,Renewable Energy
CA,2018,Renewable Energy
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Transportation
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Climate Change
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Climate Change
CA,2018,Electric Grid and Transmission
CA,2018,Renewable Energy
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Utility Regulation
CA,2018,Fossil Energy
CA,2018,Climate Change
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Utility Regulation
CA,2018,Utility Regulation
CA,2018,Renewable Energy
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Fossil Energy
CA,2018,Nuclear / Radioactive Waste
CA,2018,Fossil Energy
CA,2018,Electric Grid and Transmission
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Climate Change
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Climate Change
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Climate Change
CA,2018,Green Jobs
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Transportation
CA,2018,Energy Efficiency
CA,2018,Nuclear Energy Facilities
CA,2018,Renewable Energy
CA,2018,Climate Change
CA,2018,Energy Efficiency
CA,2018,Fossil Energy
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Climate Change
CA,2018,Renewable Energy
CA,2018,Fossil Energy
CA,2018,Financing Energy Efficiency and Renewable Energy
CA,2018,Energy Efficiency
CA,2018,Fossil Energy
CA,2018,Utility Regulation
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Renewable Energy
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Electric Grid and Transmission
CA,2018,Transportation
CA,2018,Renewable Energy
CA,2018,Climate Change
CA,2018,Renewable Energy
CA,2018,Transportation
CA,2018,Climate Change
CA,2018,Renewable Energy
CA,2018,Climate Change
CA,2018,Electric Grid and Transmission
CA,2018,Energy Efficiency
CA,2018,Electric Grid and Transmission
CA,2018,Transportation
CA,2018,Fossil Energy
CA,2018,Transportation
CA,2018,Climate Change
CA,2018,Fossil Energy
CA,2018,Fossil Energy
CA,2018,Climate Change
CA,2018,Climate Change
CA,2018,Transportation
CA,2018,Energy Efficiency
CA,2018,Utility Regulation
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Climate Change
CA,2018,Energy Efficiency
CA,2018,Climate Change
CA,2018,Climate Change
CA,2018,Energy Security and Critical Infrastructure
CA,2018,Energy Efficiency
CA,2018,Transportation
CA,2018,Transportation
CA,2018,Electric Grid and Transmission
CA,2018,Climate Change
CA,2018,Renewable Energy
CA,2018,Climate Change
CA,2017,Transportation
CA,2017,Climate Change
CA,2017,Climate Change
CA,2017,Nuclear / Radioactive Waste
CA,2017,Climate Change - Emissions Reduction
CA,2017,Fossil Energy
CA,2017,Energy Efficiency
CA,2017,Climate Change
CA,2017,Energy Efficiency
CA,2017,Green Jobs
CA,2017,Climate Change
CA,2017,Climate Change
CA,2017,Energy Efficiency
CA,2017,Energy Efficiency
CA,2017,Energy Efficiency
CA,2017,Climate Change
CA,2017,Electric Grid and Transmission
CA,2017,Climate Change
CA,2017,Transportation
CA,2017,Transportation
CA,2017,Renewable Energy
CA,2017,Transportation
CA,2017,Energy Security and Critical Infrastructure
CA,2017,Climate Change
CA,2017,Transportation
CA,2017,Climate Change
CA,2017,Energy Security and Critical Infrastructure
CA,2017,Climate Change
CA,2017,Electric Grid and Transmission
CA,2017,Renewable Energy
CA,2017,Utility Regulation
CA,2017,Fossil Energy
CA,2017,Climate Change
CA,2017,Transportation
CA,2017,Utility Regulation
CA,2017,Renewable Energy
CA,2017,Energy Security and Critical Infrastructure
CA,2017,Renewable Energy
CA,2017,Nuclear / Radioactive Waste
CA,2017,Green Jobs
CA,2017,Transportation
CA,2017,Transportation
CA,2017,Transportation
CA,2017,Fossil Energy
CA,2017,Energy Efficiency
CA,2017,Fossil Energy
CA,2017,Electric Grid and Transmission
CA,2017,Renewable Energy
CA,2017,Transportation
CA,2017,Renewable Energy
CA,2017,Climate Change
CA,2017,Transportation
CA,2016,Utility Regulation
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Energy Efficiency
CA,2016,Renewable Energy
CA,2016,Financing Energy Efficiency and Renewable Energy
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Renewable Energy
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Nuclear / Radioactive Waste
CA,2016,Climate Change
CA,2016,Renewable Energy
CA,2016,Transportation
CA,2016,Climate Change
CA,2016,Renewable Energy
CA,2016,Climate Change
CA,2016,Nuclear / Radioactive Waste
CA,2016,Electric Grid and Transmission
CA,2016,Transportation
CA,2016,Climate Change
CA,2016,Financing Energy Efficiency and Renewable Energy
CA,2016,Electric Grid and Transmission
CA,2016,Climate Change
CA,2016,Renewable Energy
CA,2016,Energy Efficiency
CA,2016,Energy Efficiency
CA,2016,Transportation
CA,2016,Climate Change
CA,2016,Energy Efficiency
CA,2016,Transportation
CA,2016,Electric Grid and Transmission
CA,2016,Renewable Energy
CA,2016,Climate Change
CA,2016,Energy Efficiency
CA,2016,Climate Change
CA,2016,Fossil Energy
CA,2016,
CA,2016,Transportation
CA,2016,Nuclear / Radioactive Waste
CA,2016,Climate Change
CA,2016,Transportation
CA,2016,Transportation
CA,2016,Renewable Energy
CA,2016,Renewable Energy
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Energy Efficiency
CA,2016,Energy Security and Critical Infrastructure
CA,2016,Transportation
CA,2016,Climate Change
CA,2016,Fossil Energy
CA,2016,Climate Change
CA,2016,Renewable Energy
CA,2016,Energy Efficiency
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Energy Efficiency
CA,2016,Energy Efficiency
CA,2016,Fossil Energy - Natural Gas
CA,2016,Climate Change
CA,2016,Renewable Energy
CA,2016,Climate Change
CA,2016,Climate Change
CA,2016,Energy Efficiency
CA,2016,Renewable Energy
CA,2016,Electric Grid and Transmission
CA,2016,Green Jobs
CA,2016,Electric Grid and Transmission
CA,2016,Electric Grid and Transmission
CA,2016,Climate Change
CA,2016,Electric Grid and Transmission
CA,2016,Climate Change
CA,2016,Renewable Energy
CA,2016,Renewable Energy
CA,2016,Energy Efficiency
CA,2016,Renewable Energy
CA,2016,Energy Efficiency
CA,2016,Utility Regulation
CA,2016,Energy Efficiency
CA,2016,Climate Change
CA,2016,Fossil Energy
CA,2016,Climate Change
CA,2016,Energy Security and Critical Infrastructure
CA,2016,Electric Grid and Transmission
CA,2016,Transportation
CA,2016,Fossil Energy
CA,2015,Climate Change
CA,2015,Energy Efficiency
CA,2015,Renewable Energy
CA,2015,Financing Energy Efficiency and Renewable Energy
CA,2015,Climate Change
CA,2015,Renewable Energy
CA,2015,Climate Change
CA,2015,Climate Change
CA,2015,Climate Change
CA,2015,Nuclear Energy Facilities
CA,2015,Renewable Energy
CA,2015,Transportation
CA,2015,Climate Change
CA,2015,Renewable Energy
CA,2015,Climate Change
CA,2015,Climate Change
CA,2015,Financing Energy Efficiency and Renewable Energy
CA,2015,Electric Grid and Transmission
CA,2015,Climate Change
CA,2015,Renewable Energy
CA,2015,Energy Efficiency
CA,2015,Energy Efficiency
CA,2015,Transportation
CA,2015,Energy Efficiency
CA,2015,
CA,2015,Transportation
CA,2015,Renewable Energy
CA,2015,Climate Change
CA,2015,Transportation
CA,2015,Climate Change
CA,2015,Climate Change
CA,2015,Renewable Energy
CA,2015,Climate Change
CA,2015,Climate Change
CA,2015,Renewable Energy
CA,2014,Fossil Energy
CA,2014,Renewable Energy
CA,2014,Climate Change
CA,2014,Energy Efficiency
CA,2014,Energy Efficiency
CA,2014,Electric Grid and Transmission
CA,2014,Energy Security and Critical Infrastructure
CA,2014,Energy Efficiency
CA,2014,Green Jobs
CA,2014,Energy Security and Critical Infrastructure
CA,2014,Renewable Energy
CA,2014,Renewable Energy
CA,2014,Financing Energy Efficiency and Renewable Energy
CA,2014,Energy Efficiency
CA,2014,Transportation
CA,2014,Energy Efficiency
CA,2014,Transportation
CA,2014,Fossil Energy
CA,2014,Fossil Energy
CA,2014,Electric Grid and Transmission
CA,2014,
CA,2014,Energy Efficiency
CA,2014,Transportation
CA,2014,Energy Security and Critical Infrastructure
CA,2014,Energy Security and Critical Infrastructure
CA,2014,Electric Grid and Transmission
CA,2014,Renewable Energy
CA,2014,Fossil Energy
CA,2014,Transportation
CA,2014,Transportation
CA,2014,Energy Security and Critical Infrastructure
CA,2014,Renewable Energy
CA,2014,Transportation
CA,2014,Climate Change
CA,2014,Energy Efficiency
